장소ID,장소명,구분,경도,위도,도보가능여부
P001,황리단길(출발지),출발지,129.2099537,35.8374083,Y
P002,금리단길(출발지),출발지,129.2135034,35.84238167,Y
P003,첨성대(출발지),출발지,129.2185645,35.83437453,Y
P004,교촌마을(출발지),출발지,129.2146934,35.82963083,Y
P005,987피자,황리단길_식당,129.2114316,35.83688753,Y
P006,료미,황리단길_식당,129.2097543,35.83563728,Y
P007,백년손님,황리단길_식당,129.2127733,35.83496651,Y
P008,백조식당,황리단길_식당,129.2108973,35.8359316,Y
P009,줄리스,황리단길_식당,129.2105098,35.83774595,Y
P010,포롱아밀 황남점,황리단길_식당,129.210914,35.8357058,Y
P011,화양연화,황리단길_식당,129.213144,35.83428578,Y
P012,료코,황리단길_식당,129.2127394,35.83528618,Y
P013,황남두꺼비식당 황남본점,황리단길_식당,129.210917,35.83449243,Y
P014,피자옥,황리단길_식당,129.2108206,35.83642647,Y
P015,범외양간 황리단길본점,황리단길_식당,129.2093834,35.83728971,Y
P016,경주황소곱창 황리단길본점,황리단길_식당,129.210304,35.83687519,Y
P017,메종드문,황리단길_식당,129.2117322,35.83560917,Y
P018,풍미갈비찜,황리단길_식당,129.2117779,35.83548072,Y
P019,황남갈비,황리단길_식당,129.2130294,35.83456357,Y
P020,타베르나,황리단길_식당,129.2113018,35.83483928,Y
P021,소나무 황리단길본점,황리단길_식당,129.2097729,35.83454708,Y
P022,오칼국수,황리단길_식당,129.2111073,35.83413727,Y
P023,황남거북이,황리단길_식당,129.2115305,35.83679888,Y
P024,그때그소간지,황리단길_식당,129.2129866,35.83538669,Y
P025,짚불함박,황리단길_식당,129.2093927,35.83795591,Y
P026,향밀,황리단길_식당,129.209995,35.83480752,Y
P027,체크인치즈 황리단길점,황리단길_식당,129.2117779,35.83548072,Y
P028,황남역,황리단길_식당,129.2095385,35.83893337,Y
P029,황남양옥,황리단길_식당,129.2113116,35.83665598,Y
P030,대릉소반,황리단길_식당,129.2151459,35.83499974,Y
P031,미포기사식당,황리단길_식당,129.209246,35.83762568,Y
P032,황리화덕가,황리단길_식당,129.2081953,35.83562996,Y
P033,향택 경주,황리단길_식당,129.2090883,35.83714567,Y
P034,무궁무진,황리단길_식당,129.209293,35.83562514,Y
P035,노키,황리단길_식당,129.2087596,35.83597935,Y
P036,마카다,황리단길_식당,129.2093938,35.83326193,Y
P037,황리단 치킨,황리단길_식당,129.2087059,35.8370601,Y
P038,담요 따뜻한 손길,황리단길_식당,129.2086469,35.83350153,Y
P039,스컹크웍스,황리단길_카페,129.210084,35.8355158,Y
P040,굿즈,황리단길_카페,129.2118802,35.83528063,Y
P041,샬로우커피 황리단길점,황리단길_카페,129.21001,35.83676179,Y
P042,데어벤치,황리단길_카페,129.2127081,35.83515802,Y
P043,스위피,황리단길_카페,129.2119017,35.83455238,Y
P044,아르떼,황리단길_카페,129.212431,35.83525334,Y
P045,키도트,황리단길_카페,129.2094668,35.8387246,Y
P046,후프후프,황리단길_카페,129.2086493,35.83914953,Y
P047,올리브,황리단길_카페,129.2090548,35.83736935,Y
P048,양지다방,황리단길_카페,129.209218,35.83727886,Y
P049,미실카페,황리단길_카페,129.2091617,35.8381859,Y
P050,햇오프커피,황리단길_카페,129.2082768,35.83730468,Y
P051,비화커피,황리단길_카페,129.2084016,35.83618292,Y
P052,오버랩,황리단길_카페,129.2063808,35.83991606,Y
P053,주돈,금리단길_식당,129.2101981,35.84250171,Y
P054,서울뒷고기막창,금리단길_식당,129.2063369,35.84067046,Y
P055,옐라,금리단길_식당,129.2145302,35.84245136,Y
P056,대호당,금리단길_식당,129.2146556,35.84325752,Y
P057,사계돈,금리단길_식당,129.2155892,35.84179737,Y
P058,황오바오,금리단길_식당,129.215399,35.84170885,Y
P059,시간의 여백,금리단길_카페,129.2096869,35.84349539,Y
P060,리커피하우스,금리단길_카페,129.2104414,35.84216724,Y
P061,로라커피,금리단길_카페,129.214115,35.846872,Y
P062,소담루,금리단길_카페,129.210203,35.846834,Y
P063,위주,금리단길_카페,129.209598,35.845901,Y
P064,크루그,금리단길_카페,129.20997,35.844813,Y
P065,나봉상점 경주점,금리단길_카페,129.216182,35.84195,Y
P066,연화,금리단길_카페,129.219139,35.842685,Y
P067,yesterday,금리단길_카페,129.222958,35.843663,Y
P068,진수성찬,교촌마을_식당,129.2153079,35.83010396,Y
P069,베이글베이글러,교촌마을_카페,129.2137593,35.83173354,Y
P070,경주 핑크뮬리(경주 핑크뮬리 군락지),관광지,129.2198,35.8355,Y
P071,경주 교촌마을,관광지,129.2146934,35.82963083,Y
P072,경주 황리단길,관광지,129.2099537,35.8374083,Y
P073,경주 계림,관광지,129.2189978,35.83264696,Y
P074,월정교,관광지,129.2161732,35.82793354,Y
P075,경주읍성,관광지,129.2139062,35.8473202,Y
P076,경주 첨성대,관광지,129.2185645,35.83437453,Y
P077,파도소리길,관광지(도보불가),129.4749,35.6899,N
P078,빛누리정원,관광지(도보불가),129.208179,35.864152,N
P079,경주 불국사 [유네스코 세계유산],관광지(도보불가),129.3317254,35.79230232,N
P080,황성공원,관광지(도보불가),127.2144,37.859,N
P081,경주 보문관광단지,관광지(도보불가),129.286968,35.84369802,N
P082,화랑의 언덕,관광지(도보불가),129.0871507,35.77004502,N
P083,나정고운모래해변,관광지(도보불가),129.4917548,35.78294169,N
P084,보문호,관광지(도보불가),129.2766813,35.84432728,N
P085,감포항,관광지(도보불가),129.5040375,35.80783294,N
P086,국민힐링파크,관광지(도보불가),129.0618781,35.74082381,N
P087,경주 서출지,관광지(도보불가),129.2424274,35.79644315,N
P088,경주엑스포대공원,관광지(도보불가),129.2895444,35.83405646,N
P089,보문정(경주),관광지(도보불가),129.2892803,35.84132508,N
P090,신라왕경숲,관광지(도보불가),129.2388625,35.83996873,N
P091,경주 문무대왕릉,관광지(도보불가),129.4868299,35.73814324,N
