출발ID,출발지명,도착ID,도착지명,도보시간(분),거리(m)
P001,황리단길(출발지),P005,987피자,3,186
P001,황리단길(출발지),P006,료미,3,243
P001,황리단길(출발지),P007,백년손님,6,491
P001,황리단길(출발지),P008,백조식당,4,288
P001,황리단길(출발지),P009,줄리스,2,122
P001,황리단길(출발지),P010,포롱아밀 황남점,4,335
P001,황리단길(출발지),P011,화양연화,8,587
P001,황리단길(출발지),P012,료코,6,457
P001,황리단길(출발지),P013,황남두꺼비식당 황남본점,6,449
P001,황리단길(출발지),P014,피자옥,2,173
P001,황리단길(출발지),P015,범외양간 황리단길본점,1,60
P001,황리단길(출발지),P016,경주황소곱창 황리단길본점,3,185
P001,황리단길(출발지),P017,메종드문,5,392
P001,황리단길(출발지),P018,풍미갈비찜,5,389
P001,황리단길(출발지),P019,황남갈비,8,592
P001,황리단길(출발지),P020,타베르나,5,409
P001,황리단길(출발지),P021,소나무 황리단길본점,4,346
P001,황리단길(출발지),P022,오칼국수,6,486
P001,황리단길(출발지),P023,황남거북이,3,210
P001,황리단길(출발지),P024,그때그소간지,6,480
P001,황리단길(출발지),P025,짚불함박,1,110
P001,황리단길(출발지),P026,향밀,5,368
P001,황리단길(출발지),P027,체크인치즈 황리단길점,5,389
P001,황리단길(출발지),P028,황남역,3,216
P001,황리단길(출발지),P029,황남양옥,3,193
P001,황리단길(출발지),P030,대릉소반,10,715
P001,황리단길(출발지),P031,미포기사식당,1,81
P001,황리단길(출발지),P032,황리화덕가,5,344
P001,황리단길(출발지),P033,향택 경주,1,91
P001,황리단길(출발지),P034,무궁무진,3,245
P001,황리단길(출발지),P035,노키,4,311
P001,황리단길(출발지),P036,마카다,6,474
P001,황리단길(출발지),P037,황리단 치킨,2,148
P001,황리단길(출발지),P038,담요 따뜻한 손길,7,539
P001,황리단길(출발지),P039,스컹크웍스,4,274
P001,황리단길(출발지),P040,굿즈,6,442
P001,황리단길(출발지),P041,샬로우커피 황리단길점,2,129
P001,황리단길(출발지),P042,데어벤치,6,468
P001,황리단길(출발지),P043,스위피,6,506
P001,황리단길(출발지),P044,아르떼,6,481
P001,황리단길(출발지),P045,키도트,3,231
P001,황리단길(출발지),P046,후프후프,4,351
P001,황리단길(출발지),P047,올리브,1,83
P001,황리단길(출발지),P048,양지다방,1,76
P001,황리단길(출발지),P049,미실카페,2,147
P001,황리단길(출발지),P050,햇오프커피,2,168
P001,황리단길(출발지),P051,비화커피,3,269
P001,황리단길(출발지),P052,오버랩,10,686
P001,황리단길(출발지),P053,주돈,9,630
P001,황리단길(출발지),P054,서울뒷고기막창,10,747
P001,황리단길(출발지),P055,옐라,12,881
P001,황리단길(출발지),P056,대호당,13,962
P001,황리단길(출발지),P057,사계돈,12,896
P001,황리단길(출발지),P058,황오바오,11,844
P001,황리단길(출발지),P059,시간의 여백,10,740
P001,황리단길(출발지),P060,리커피하우스,8,597
P001,황리단길(출발지),P061,로라커피,18,1339
P001,황리단길(출발지),P062,소담루,15,1105
P001,황리단길(출발지),P063,위주,14,1044
P001,황리단길(출발지),P064,크루그,12,885
P001,황리단길(출발지),P065,나봉상점 경주점,13,950
P001,황리단길(출발지),P066,연화,19,1328
P001,황리단길(출발지),P067,yesterday,29,1800
P001,황리단길(출발지),P068,진수성찬,15,1153
P001,황리단길(출발지),P069,베이글베이글러,11,860
P001,황리단길(출발지),P070,경주 핑크뮬리(경주 핑크뮬리 군락지),16,1254
P001,황리단길(출발지),P071,경주 교촌마을,15,1139
P001,황리단길(출발지),P072,경주 황리단길,0,0
P001,황리단길(출발지),P073,경주 계림,18,1343
P001,황리단길(출발지),P074,월정교,19,1456
P001,황리단길(출발지),P075,경주읍성,19,1386
P001,황리단길(출발지),P076,경주 첨성대,14,1079
P002,금리단길(출발지),P005,987피자,13,909
